------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version,2.4
EnvLogger Viewer version,3.9
downloading device type, android
device, SM-G930F
downloading mode, manual
------------------------------,--------------------
serial number, 0445 8800 1115 09
custom name, A3
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution,0.1
samples,2844
time diff [logger-smartphone](sec),113
lat,48.83467
long,-125.135659
accuracy (m),24
------------------------------,--------------------
time,temp
2021-04-06 15:18,9.1
2021-04-06 15:48,9
2021-04-06 16:18,9
2021-04-06 16:48,9.1
2021-04-06 17:18,9.1
2021-04-06 17:48,9.2
2021-04-06 18:18,9.1
2021-04-06 18:48,9.2
2021-04-06 19:18,9.2
2021-04-06 19:48,9.2
2021-04-06 20:18,9.1
2021-04-06 20:48,9
2021-04-06 21:18,9
2021-04-06 21:48,8.9
2021-04-06 22:18,9
2021-04-06 22:48,8.9
2021-04-06 23:18,8.8
2021-04-06 23:48,8.9
2021-04-07 0:18,9
2021-04-07 0:48,9.1
2021-04-07 1:18,9
2021-04-07 1:48,8.9
2021-04-07 2:18,8.9
2021-04-07 2:48,8.8
2021-04-07 3:18,8.9
2021-04-07 3:48,8.9
2021-04-07 4:18,9.1
2021-04-07 4:48,9.1
2021-04-07 5:18,9.1
2021-04-07 5:48,9.5
2021-04-07 6:18,9.5
2021-04-07 6:48,9.3
2021-04-07 7:18,9.3
2021-04-07 7:48,9.2
2021-04-07 8:18,9.1
2021-04-07 8:48,9.2
2021-04-07 9:18,9.3
2021-04-07 9:48,9.3
2021-04-07 10:18,9.3
2021-04-07 10:48,9
2021-04-07 11:18,9
2021-04-07 11:48,9.2
2021-04-07 12:18,9.1
2021-04-07 12:48,9.2
2021-04-07 13:18,9.3
2021-04-07 13:48,9.4
2021-04-07 14:18,9.2
2021-04-07 14:48,9.2
2021-04-07 15:18,9.1
2021-04-07 15:48,9.3
2021-04-07 16:18,9.2
2021-04-07 16:48,9
2021-04-07 17:18,9.2
2021-04-07 17:48,9.1
2021-04-07 18:18,9.3
2021-04-07 18:48,9.3
2021-04-07 19:18,9.4
2021-04-07 19:48,9.5
2021-04-07 20:18,9.4
2021-04-07 20:48,9.4
2021-04-07 21:18,9.2
2021-04-07 21:48,9.3
2021-04-07 22:18,9.2
2021-04-07 22:48,9.5
2021-04-07 23:18,9.4
2021-04-07 23:48,9.3
2021-04-08 0:18,9.1
2021-04-08 0:48,5.9
2021-04-08 1:18,6
2021-04-08 1:48,6.1
2021-04-08 2:18,6.3
2021-04-08 2:48,6.4
2021-04-08 3:18,6.3
2021-04-08 3:48,6.5
2021-04-08 4:18,4.5
2021-04-08 4:48,4.4
2021-04-08 5:18,4.5
2021-04-08 5:48,4.6
2021-04-08 6:18,4.7
2021-04-08 6:48,4.6
2021-04-08 7:18,4.6
2021-04-08 7:48,4.7
2021-04-08 8:18,5
2021-04-08 8:48,4.6
2021-04-08 9:18,4.1
2021-04-08 9:48,3.5
2021-04-08 10:18,3
2021-04-08 10:48,2.5
2021-04-08 11:18,2.3
2021-04-08 11:48,1.8
2021-04-08 12:18,1.4
2021-04-08 12:48,1.3
2021-04-08 13:18,1.1
2021-04-08 13:48,1
2021-04-08 14:18,0.9
2021-04-08 14:48,1
2021-04-08 15:18,1.6
2021-04-08 15:48,2.4
2021-04-08 16:18,2.9
2021-04-08 16:48,3.3
2021-04-08 17:18,3.5
2021-04-08 17:48,3.7
2021-04-08 18:18,4.1
2021-04-08 18:48,4.9
2021-04-08 19:18,6.6
2021-04-08 19:48,7.8
2021-04-08 20:18,6.6
2021-04-08 20:48,7.6
2021-04-08 21:18,8.4
2021-04-08 21:48,8.3
2021-04-08 22:18,10.5
2021-04-08 22:48,11.5
2021-04-08 23:18,12.1
2021-04-08 23:48,10.5
2021-04-09 0:18,9.3
2021-04-09 0:48,9
2021-04-09 1:18,9.4
2021-04-09 1:48,8.6
2021-04-09 2:18,9.1
2021-04-09 2:48,9.2
2021-04-09 3:18,9.2
2021-04-09 3:48,9.3
2021-04-09 4:18,9.8
2021-04-09 4:48,9.8
2021-04-09 5:18,9.9
2021-04-09 5:48,9.9
2021-04-09 6:18,9.8
2021-04-09 6:48,9.7
2021-04-09 7:18,9.7
2021-04-09 7:48,9.8
2021-04-09 8:18,9.6
2021-04-09 8:48,9.5
2021-04-09 9:18,9.6
2021-04-09 9:48,9.4
2021-04-09 10:18,9.3
2021-04-09 10:48,9.3
2021-04-09 11:18,9.2
